nome,creditos,ementa
Matemática Básica,4,"Conceitos fundamentais de álgebra e geometria"
História Geral,3,"Estudo das civilizações antigas até o século XXI"
Introdução à Programação,5,"Lógica de programação e algoritmos em Python"
Física I,4,"Cinemática, dinâmica e leis de Newton"
Química Geral,4,"Propriedades da matéria e reações químicas"
Biologia Celular,3,"Estrutura e função das células"
Português Instrumental,2,"Leitura e produção de textos acadêmicos"
Cálculo I,5,"Limites, derivadas e aplicações"
Álgebra Linear,4,"Vetores, matrizes e sistemas lineares"
Geometria Analítica,4,"Retas, planos e cônicas"
Lógica Computacional,3,"Raciocínio lógico e estruturas formais"
Banco de Dados I,4,"Modelagem relacional e SQL"
Engenharia de Software I,4,"Introdução à engenharia de software"
Sistemas Operacionais,4,"Conceitos e gerenciamento de recursos"
Redes de Computadores I,4,"Modelos OSI e TCP/IP"
Análise de Algoritmos,5,"Complexidade e otimização de algoritmos"
Programação Orientada a Objetos,5,"Princípios da POO em Java"
Estruturas de Dados,5,"Listas, pilhas, filas e árvores"
Inteligência Artificial,4,"Fundamentos e aplicações de IA"
Desenvolvimento Web,5,"HTML, CSS, JavaScript e frameworks"
Cálculo II,5,"Integrais e aplicações"
Probabilidade e Estatística,4,"Distribuições e testes de hipóteses"
Empreendedorismo,3,"Criação e gestão de startups"
Administração Geral,3,"Princípios básicos da administração"
Contabilidade Básica,3,"Fundamentos da contabilidade financeira"
Ética e Cidadania,2,"Reflexões sobre ética na vida social e profissional"
Metodologia Científica,2,"Elaboração de projetos de pesquisa"
Tópicos Avançados em TI,4,"Tendências e inovações tecnológicas"
Gerência de Projetos,4,"Planejamento e execução de projetos"
Computação Gráfica,4,"Conceitos e ferramentas para renderização"
Visão Computacional,4,"Processamento e análise de imagens"
Machine Learning,5,"Aprendizado supervisionado e não supervisionado"
Processamento de Linguagem Natural,4,"Análise e geração de texto"
Desenvolvimento Mobile,5,"Criação de apps Android e iOS"
Arquitetura de Computadores,4,"Componentes e funcionamento de CPUs"
Segurança da Informação,4,"Criptografia, redes e políticas de segurança"
Internet das Coisas (IoT),4,"Dispositivos conectados e aplicações"
Robótica,4,"Automação e sistemas embarcados"
Engenharia de Requisitos,4,"Levantamento e análise de requisitos"
Testes de Software,4,"Planejamento e execução de testes"
Cloud Computing,4,"Infraestrutura e serviços em nuvem"
DevOps,4,"Integração e entrega contínua"
Big Data,5,"Armazenamento e análise de grandes volumes de dados"
Blockchain,4,"Tecnologia de registros distribuídos"
Realidade Virtual,4,"Ambientes imersivos e simulações"
Realidade Aumentada,4,"Integração de objetos virtuais ao mundo real"
Jogos Digitais,4,"Desenvolvimento e engines de jogos"
Computação Quântica,4,"Princípios e aplicações iniciais"
Bioinformática,4,"Aplicações da computação na biologia"
Reconhecimento de Padrões,4,"Classificação e análise de dados"
Sociologia,3,"Estudo das estruturas e relações sociais"
